,code,Detailed List Numbers,Cause
470,D67,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
471,D68,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
472,D69,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
473,D70,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
474,D71,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
475,D72,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
476,D73,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
477,D74,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
478,D75,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
479,D76,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
480,D77,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
481,D78,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
482,D79,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
483,D80,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
484,D81,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
485,D82,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
486,D83,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
487,D84,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
488,D85,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
489,D86,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
490,D87,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
491,D88,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
492,D89,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
493,E00,,"Remainder of endocrine, nutritional and metabolic diseases"
494,E01,,"Remainder of endocrine, nutritional and metabolic diseases"
495,E02,,"Remainder of endocrine, nutritional and metabolic diseases"
496,E03,,"Remainder of endocrine, nutritional and metabolic diseases"
497,E04,,"Remainder of endocrine, nutritional and metabolic diseases"
498,E05,,"Remainder of endocrine, nutritional and metabolic diseases"
499,E06,,"Remainder of endocrine, nutritional and metabolic diseases"
500,E07,,"Remainder of endocrine, nutritional and metabolic diseases"
501,E08,,"Endocrine, nutritional and metabolic diseases"
502,E09,,"Endocrine, nutritional and metabolic diseases"
503,E10,,Diabetes mellitus
504,E11,,Diabetes mellitus
505,E12,,Diabetes mellitus
506,E13,,Diabetes mellitus
507,E14,,Diabetes mellitus
508,E15,,"Remainder of endocrine, nutritional and metabolic diseases"
509,E16,,"Remainder of endocrine, nutritional and metabolic diseases"
510,E17,,"Remainder of endocrine, nutritional and metabolic diseases"
511,E18,,"Remainder of endocrine, nutritional and metabolic diseases"
512,E19,,"Remainder of endocrine, nutritional and metabolic diseases"
513,E20,,"Remainder of endocrine, nutritional and metabolic diseases"
514,E21,,"Remainder of endocrine, nutritional and metabolic diseases"
515,E22,,"Remainder of endocrine, nutritional and metabolic diseases"
516,E23,,"Remainder of endocrine, nutritional and metabolic diseases"
517,E24,,"Remainder of endocrine, nutritional and metabolic diseases"
518,E25,,"Remainder of endocrine, nutritional and metabolic diseases"
519,E26,,"Remainder of endocrine, nutritional and metabolic diseases"
520,E27,,"Remainder of endocrine, nutritional and metabolic diseases"
521,E28,,"Remainder of endocrine, nutritional and metabolic diseases"
522,E29,,"Remainder of endocrine, nutritional and metabolic diseases"
523,E30,,"Remainder of endocrine, nutritional and metabolic diseases"
524,E31,,"Remainder of endocrine, nutritional and metabolic diseases"
525,E32,,"Remainder of endocrine, nutritional and metabolic diseases"
526,E33,,"Remainder of endocrine, nutritional and metabolic diseases"
527,E34,,"Remainder of endocrine, nutritional and metabolic diseases"
528,E35,,"Endocrine, nutritional and metabolic diseases"
529,E36,,"Endocrine, nutritional and metabolic diseases"
530,E37,,"Endocrine, nutritional and metabolic diseases"
531,E38,,"Endocrine, nutritional and metabolic diseases"
532,E39,,"Endocrine, nutritional and metabolic diseases"
533,E40,,Malnutrition
534,E41,,Malnutrition
535,E42,,Malnutrition
536,E43,,Malnutrition
537,E44,,Malnutrition
538,E45,,Malnutrition
539,E46,,Malnutrition
540,E47,,"Endocrine, nutritional and metabolic diseases"
541,E48,,"Endocrine, nutritional and metabolic diseases"
542,E49,,"Endocrine, nutritional and metabolic diseases"
543,E50,,"Remainder of endocrine, nutritional and metabolic diseases"
544,E51,,"Remainder of endocrine, nutritional and metabolic diseases"
545,E52,,"Remainder of endocrine, nutritional and metabolic diseases"
546,E53,,"Remainder of endocrine, nutritional and metabolic diseases"
547,E54,,"Remainder of endocrine, nutritional and metabolic diseases"
548,E55,,"Remainder of endocrine, nutritional and metabolic diseases"
549,E56,,"Remainder of endocrine, nutritional and metabolic diseases"
550,E57,,"Remainder of endocrine, nutritional and metabolic diseases"
551,E58,,"Remainder of endocrine, nutritional and metabolic diseases"
